local_id	std_id	new_or_modified	MRB_ID	hydseq	sqkm	demtarea	meanq	delivery_target	pname	headflag	termflag	rchtype	meanv	rchtot	length_m	EDANAME	RR	HUC6	station_id	station_name	basin_delineation	edacode	ex_calib	staid	HUC8	del_frac	mean_del_frac	se_del_frac	ci_lo_del_frac	ci_hi_del_frac
81027	81027	F	81027		112.83		56.415	1	PUNGO R		3	0	-10000	0	43109.90188		03020104000	30201				S020a			03020104	1	1	0	1	1
81028	81028	F	81028		53.19		26.595	1	PAMLICO R		3	0	-10000	0	20430.70231		03020104000	30201				S020a			03020104	1	1	0	1	1
81029	81029	F	81029		227.31		113.655	1	PAMLICO R		3	0	-10000	0	49004.26333		03020104000	30201				S020a			03020104	1	1	0	1	1
81030	81030	F	81030		646.67		323.335	1	PAMLICO SOUND		3	0	-10000	0	96349.07262		03020105000	30201				S020w			03020105	1	1	0	1	1
81031	81031	F	81031		1.05		0.525	1	PAMLICO SOUND		3	0	-10000	0	232.85356		03020105000	30201				S020w			03020105	1	1	0	1	1
81032	81032	F	81032		223.5		111.75	1	PAMLICO SOUND		3	0	-10000	0	39095.90689		03020105000	30201				S020w			03020105	1	1	0	1	1
81033	81033	F	81033		371.33		185.665	1	PAMLICO SOUND		3	0	-10000	0	72291.77119		03020105000	30201				S020w			03020105	1	1	0	1	1
81034	81034	F	81034		126.04		63.02	1	PAMLICO SOUND		3	0	-10000	0	71112.70849		03020105000	30201				S020w			03020105	1	1	0	1	1
81035	81035	F	81035		346.92		173.46	1	PAMLICO SOUND		3	0	-10000	0	69803.53061		03020105000	30201				S020w			03020105	1	1	0	1	1
81037	81037	F	81037		486.9		243.45	1	NEUSE R		3	0	-10000	0	62273.04969		03020204000	30202				S020b			03020204	1	1	0	1	1
81038	81038	F	81038		28.93		14.465	1	NEUSE R		3	0	-10000	0	7988.46976		03020204000	30202				S020b			03020204	1	1	0	1	1
81039	81039	F	81039		863.68		431.84	1	ONSLOW BAY		3	0	-10000	0	46232.24133		03030001000	30300				S045x			03030001	1	1	0	1	1
81040	81040	F	81040		408.51		204.255	1	ONSLOW BAY		3	0	-10000	0	38294.06998		03030001000	30300				S045x			03030001	1	1	0	1	1
81041	81041	F	81041		111.73		55.865	1	LONG BAY		3	0	-10000	0	18344.45272		03040207000	30402				S056x			03040207	1	1	0	1	1
81042	81042	F	81042		486.22		243.11	1	LONG BAY		3	0	-10000	0	73325.44935		03040207000	30402				S056x			03040207	1	1	0	1	1
81043	81043	F	81043		434.6		217.3	1	LONG BAY		3	0	-10000	0	55149.63838		03040207000	30402				S056x			03040207	1	1	0	1	1
81044	81044	F	81044		0.72		0.36	1	WINYAH BAY		3	0	-10000	0	693.67116		03040207000	30402				S060x			03040207	1	1	0	1	1
81045	81045	F	81045		32.74		16.37	1	ATLANTIC OCEAN		3	0	-10000	0	5511.09		03050112000	30501				S070x			03050112	1	1	0	1	1
81046	81046	F	81046		5.43		2.715	1	ATLANTIC OCEAN		3	0	-10000	0	651.70155		03050112000	30501				S070x			03050112	1	1	0	1	1
81048	81048	F	81048		15.45		7.725	1	COOPER R		3	0	-10000	0	8356.05938		03050201000	30502				S080x			03050201	1	1	0	1	1
81049	81049	F	81049		146.17		73.085	1	ATLANTIC OCEAN		3	0	-10000	0	24949.52333		03050202000	30502				S076x			03050202	1	1	0	1	1
81050	81050	F	81050		40.69		20.345	1	ASHLEY R		3	0	-10000	0	15253.88235		03050202000	30502				S080x			03050202	1	1	0	1	1
81051	81051	F	81051		7.76		3.88	1	ATLANTIC OCEAN		3	0	-10000	0	1618.79038		03050205000	30502				S095x			03050205	1	1	0	1	1
81052	81052	F	81052		159.21		79.605	1	ATLANTIC OCEAN		3	0	-10000	0	20986.0883		03050205000	30502				S095x			03050205	1	1	0	1	1
81053	81053	F	81053		72.01		36.005	1	ST HELENA SOUND		3	0	-10000	0	10099.37466		03050208000	30502				S100x			03050208	1	1	0	1	1
81054	81054	F	81054		1.36		0.68	1	PORT ROYAL SOUND		3	0	-10000	0	1916.69555		03050208000	30502				S110x			03050208	1	1	0	1	1
81056	81056	F	81056		81.07		40.535	1	PORT ROYAL SOUND		3	0	-10000	0	22768.45726		03050208000	30502				S110x			03050208	1	1	0	1	1
81057	81057	F	81057		296.44		148.22	1	PORT ROYAL SOUND		3	0	-10000	0	98037.85346		03050208000	30502				S110x			03050208	1	1	0	1	1
81059	81059	F	81059		563.1		281.55	1	PORT ROYAL SOUND		3	0	-10000	0	40333.73574		03050208000	30502				S120x			03050208	1	1	0	1	1
81060	81060	F	81060		25.08		12.54	1	PORT ROYAL SOUND		3	0	-10000	0	11485.74727		03050208000	30502				S120x			03050208	1	1	0	1	1
81062	81062	F	81062		12.88		6.44	1	TYBEE ROADS		3	0	-10000	0	2254.592		03060204000	30602				S120x			03060204	1	1	0	1	1
81063	81063	F	81063		1.74		0.87	1	TYBEE ROADS		3	0	-10000	0	1267.39198		03060204000	30602				S120x			03060204	1	1	0	1	1
81064	81064	F	81064		15.56		7.78	1	LITTLE OGEECHEE R		3	0	-10000	0	9849.38518		03060204000	30602				S130x			03060204	1	1	0	1	1
81065	81065	F	81065		82.7		41.35	1	OSSABAW SOUND		3	0	-10000	0	9539.76427		03060204000	30602				S130x			03060204	1	1	0	1	1
81066	81066	F	81066		32.21		16.105	1	MEDWAY R		3	0	-10000	0	11838.49736		03060204000	30602				S140x			03060204	1	1	0	1	1
81067	81067	F	81067		91.18		45.59	1	DOBOY SOUND		3	0	-10000	0	6571.06495		03060204000	30602				S140x			03060204	1	1	0	1	1
81068	81068	F	81068		81.07		40.535	1	ALTAMAHA SOUND		3	0	-10000	0	8794.7011		03060204000	30602				S150x			03060204	1	1	0	1	1
81069	81069	F	81069		12.54		6.27	1	ALTAMAHA R		3	0	-10000	0	9842.2356		03070106000	30701				S150x			03070106	1	1	0	1	1
81073	81073	F	81073		157.47		78.735	1	ST SIMONS SOUND		3	0	-10000	0	23407.48515		03070203000	30702				S160x			03070203	1	1	0	1	1
81074	81074	F	81074		85.84		42.92	1	ATLANTIC OCEAN		3	0	-10000	0	17963.11749		03070204000	30702				S170x			03070204	1	1	0	1	1
81075	81075	F	81075		58.6		29.3	1	NASSAU SOUND		3	0	-10000	0	13818.76213		03070205000	30702				S175x			03070205	1	1	0	1	1
81076	81076	F	81076		127.43		63.715	1	NASSAU SOUND		3	0	-10000	0	16146.46373		03070205000	30702				S175x			03070205	1	1	0	1	1
81088	81088	F	81088		127.89		63.945	1	ST JOHNS R		3	0	-10000	0	22584.69493		03080103000	30801				S180x			03080103	1	1	0	1	1
81091	81091	F	81091		53.78		26.89	1	ST JOHNS R		3	0	-10000	0	16992.69269		03080103000	30801				S180x			03080103	1	1	0	1	1
81093	81093	F	81093		62.62		31.31	1	ATLANTIC OCEAN		3	0	-10000	0	19481.71273		03080201000	30802				S183x			03080201	1	1	0	1	1
81094	81094	F	81094		1051.04		525.52	1	ATLANTIC OCEAN		3	0	-10000	0	92573.99347		03080201000	30802				S183x			03080201	1	1	0	1	1
81095	81095	F	81095		2.79		1.395	1	ATLANTIC OCEAN		3	0	-10000	0	1588.32764		03080201000	30802				S183x			03080201	1	1	0	1	1
81096	81096	F	81096		485.5		242.75	1	MOSQUITO LAGOON		3	0	-10000	0	52370.12363		03080202000	30802				S190x			03080202	1	1	0	1	1
81097	81097	F	81097		449.26		224.63	1	INDIAN R		3	0	-10000	0	74976.9165		03080202000	30802				S190x			03080202	1	1	0	1	1
81098	81098	F	81098		460.25		230.125	1	INDIAN R		3	0	-10000	0	80152.39142		03080202000	30802				S190x			03080202	1	1	0	1	1
81126	81126	F	81126		44.94		22.47	1	PEACE R		3	0	-10000	0	13633.40892		03100101000	31001				G050w			03100101	1	1	0	1	1
81128	81128	F	81128		96.16		48.08	1	PEACE R		3	0	-10000	0	29765.35343		03100101000	31001				G050w			03100101	1	1	0	1	1
81129	81129	F	81129		65.76		32.88	1	PEACE R		3	0	-10000	0	17608.73387		03100102000	31001				G050w			03100102	1	1	0	1	1
81131	81131	F	81131		57.16		28.58	1	CHARLOTTE HARBOR		3	0	-10000	0	9327.4005		03100103000	31001				G050w			03100103	1	1	0	1	1
81132	81132	F	81132		36.44		18.22	1	CHARLOTTE HARBOR		3	0	-10000	0	7178.02313		03100103000	31001				G050w			03100103	1	1	0	1	1
81133	81133	F	81133		55.21		27.605	1	CHARLOTTE HARBOR		3	0	-10000	0	9331.99912		03100103000	31001				G050w			03100103	1	1	0	1	1
81136	81136	F	81136		28.77		14.385	1	CHARLOTTE HARBOR		3	0	-10000	0	7191.59904		03100101000	31001				G050w			03100101	1	1	0	1	1
81137	81137	F	81137		708.12		354.06	1	SARASOTA BAY		3	0	-10000	0	50737.54368		03100201000	31002				G060x			03100201	1	1	0	1	1
81138	81138	F	81138		53.37		26.685	1	MANATEE R		3	0	-10000	0	22801.48347		03100202000	31002				G070x			03100202	1	1	0	1	1
81139	81139	F	81139		83.39		41.695	1	MANATEE R		3	0	-10000	0	30923.48765		03100202000	31002				G070x			03100202	1	1	0	1	1
81140	81140	F	81140		360.03		180.015	1	TAMPA BAY		3	0	-10000	0	44961.27435		03100206000	31002				G070x			03100206	1	1	0	1	1
81141	81141	F	81141		3.41		1.705	1	HILLSBOROUGH BAY		3	0	-10000	0	1913.78994		03100204000	31002				G070x			03100204	1	1	0	1	1
81142	81142	F	81142		43.9		21.95	1	HILLSBOROUGH BAY		3	0	-10000	0	10104.58967		03100206000	31002				G070x			03100206	1	1	0	1	1
81143	81143	F	81143		52.31		26.155	1	HILLSBOROUGH BAY		3	0	-10000	0	15706.26234		03100206000	31002				G070x			03100206	1	1	0	1	1
81144	81144	F	81144		16.74		8.37	1	OLD TAMPA BAY		3	0	-10000	0	4427.89447		03100206000	31002				G070x			03100206	1	1	0	1	1
81145	81145	F	81145		333.75		166.875	1	OLD TAMPA BAY		3	0	-10000	0	69303.75534		03100206000	31002				G070x			03100206	1	1	0	1	1
81146	81146	F	81146		302.44		151.22	1	TAMPA BAY		3	0	-10000	0	42037.41854		03100206000	31002				G070x			03100206	1	1	0	1	1
81147	81147	F	81147		61.5		30.75	1	GULF OF MEXICO		3	0	-10000	0	9885.7419		03100207000	31002				G074x			03100207	1	1	0	1	1
81149	81149	F	81149		3.18		1.59	1	GULF OF MEXICO		3	0	-10000	0	335.7715		03100207000	31002				G074x			03100207	1	1	0	1	1
81151	81151	F	81151		51.02		25.51	1	GULF OF MEXICO		3	0	-10000	0	9695.51244		03100207000	31002				G074x			03100207	1	1	0	1	1
81152	81152	F	81152		1639.24		819.62	1	GULF OF MEXICO		3	0	-10000	0	73639.19295		03100207000	31002				G074x			03100207	1	1	0	1	1
81153	81153	F	81153		26.52		13.26	1	WACCASASSA BAY		3	0	-10000	0	7848.16535		03110101000	31101				G078x			03110101	1	1	0	1	1
81155	81155	F	81155		586.59		293.295	1	WACCASASSA BAY		3	0	-10000	0	59359.13599		03110101000	31101				G078x			03110101	1	1	0	1	1
81156	81156	F	81156		375.09		187.545	1	GULF OF MEXICO		3	0	-10000	0	56001.73654		03110102000	31101				G086x			03110102	1	1	0	1	1
81157	81157	F	81157		41.57		20.785	1	GULF OF MEXICO		3	0	-10000	0	11556.43757		03110102000	31101				G086x			03110102	1	1	0	1	1
81158	81158	F	81158		549.02		274.51	1	GULF OF MEXICO		3	0	-10000	0	54870.89342		03110102000	31101				G090x			03110102	1	1	0	1	1
81159	81159	F	81159		77.99		38.995	1	GULF OF MEXICO		3	0	-10000	0	16650.25598		03110102000	31101				G090x			03110102	1	1	0	1	1
81160	81160	F	81160		150.46		75.23	1	GULF OF MEXICO		3	0	-10000	0	19707.08606		03110102000	31101				G090x			03110102	1	1	0	1	1
81161	81161	F	81161		43.92		21.96	1	GULF OF MEXICO		3	0	-10000	0	10614.01208		03110102000	31101				G090x			03110102	1	1	0	1	1
81162	81162	F	81162		70.18		35.09	1	SUWANNEE SOUND		3	0	-10000	0	8395.74437		03110205000	31102				G080x	1		03110205	1	1	0	1	1
81163	81163	F	81163		240.51		120.255	1	APPALACHEE BAY		3	0	-10000	0	43099.74613		03120001000	31200				G090x	1		03120001	1	1	0	1	1
81164	81164	F	81164		1.67		0.835	1	OCHLOCKNEE BAY		3	0	-10000	0	1520.36898		03120003000	31200				G090x			03120003	1	1	0	1	1
81166	81166	F	81166		70.46		35.23	1	APALACHICOLA BAY		3	0	-10000	0	25099.37532		03130011000	31300				G100x			03130011	1	1	0	1	1
81167	81167	F	81167		270.14		135.07	1	APALACHICOLA BAY		3	0	-10000	0	34568.85128		03130014000	31300				G100x			03130014	1	1	0	1	1
81168	81168	F	81168		39.88		19.94	1	ST ANDREW BAY		3	0	-10000	0	14617.95459		03140101000	31401				G110x			03140101	1	1	0	1	1
81169	81169	F	81169		154.27		77.135	1	ST ANDREW BAY		3	0	-10000	0	37077.5854		03140101000	31401				G110x			03140101	1	1	0	1	1
81170	81170	F	81170		219.55		109.775	1	ST ANDREW BAY		3	0	-10000	0	82616.77552		03140101000	31401				G110x			03140101	1	1	0	1	1
81171	81171	F	81171		8.89		4.445	1	ST ANDREW BAY		3	0	-10000	0	5608.41254		03140101000	31401				G110x			03140101	1	1	0	1	1
81173	81173	F	81173		152.05		76.025	1	ST ANDREW BAY		3	0	-10000	0	43240.34957		03140101000	31401				G110x			03140101	1	1	0	1	1
81174	81174	F	81174		22.57		11.285	1	ST ANDREW BAY		3	0	-10000	0	7255.68164		03140101000	31401				G110x			03140101	1	1	0	1	1
81175	81175	F	81175		12.42		6.21	1	ST ANDREW BAY		3	0	-10000	0	5737.55919		03140101000	31401				G110x			03140101	1	1	0	1	1
81176	81176	F	81176		15.36		7.68	1	ST JOSEPH BAY		3	0	-10000	0	10001.86802		03140101000	31401				G108x			03140101	1	1	0	1	1
81178	81178	F	81178		109.63		54.815	1	ST JOSEPH BAY		3	0	-10000	0	20141.69053		03140101000	31401				G110x			03140101	1	1	0	1	1
81179	81179	F	81179		154.27		77.135	1	ST ANDREW BAY		3	0	-10000	0	59546.18653		03140101000	31401				G110x			03140101	1	1	0	1	1
81181	81181	F	81181		58.12		29.06	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	23620.47418		03140102000	31401				G120x			03140102	1	1	0	1	1
81182	81182	F	81182		34.46		17.23	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	12306.65712		03140102000	31401				G120x			03140102	1	1	0	1	1
81183	81183	F	81183		24.11		12.055	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	8731.48075		03140102000	31401				G120x			03140102	1	1	0	1	1
81184	81184	F	81184		157.13		78.565	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	33799.00854		03140102000	31401				G120x			03140102	1	1	0	1	1
81185	81185	F	81185		11.59		5.795	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	3840.49795		03140102000	31401				G120x			03140102	1	1	0	1	1
81186	81186	F	81186		18.78		9.39	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	10148.63987		03140102000	31401				G120x			03140102	1	1	0	1	1
81187	81187	F	81187		217.44		108.72	1	CHOCTAWHATCHEE BAY		3	0	-10000	0	55723.70278		03140102000	31401				G120x			03140102	1	1	0	1	1
81188	81188	F	81188		419.32		209.66	1	SANTA ROSA SOUND		3	0	-10000	0	65570.29544		03140105000	31401				G130x			03140105	1	1	0	1	1
81189	81189	F	81189		136.53		68.265	1	PENSACOLA BAY		3	0	-10000	0	39666.88536		03140105000	31401				G130x			03140105	1	1	0	1	1
81190	81190	F	81190		144.51		72.255	1	PENSACOLA BAY		3	0	-10000	0	29074.07389		03140105000	31401				G130x			03140105	1	1	0	1	1
81191	81191	F	81191		49.81		24.905	1	PENSACOLA BAY		3	0	-10000	0	11797.94404		03140103000	31401				G130x			03140103	1	1	0	1	1
81192	81192	F	81192		282.19		141.095	1	PENSACOLA BAY		3	0	-10000	0	55882.54896		03140105000	31401				G130x			03140105	1	1	0	1	1
81193	81193	F	81193		75.42		37.71	1	PENSACOLA BAY		3	0	-10000	0	18948.16138		03140105000	31401				G130x			03140105	1	1	0	1	1
81194	81194	F	81194		149.46		74.73	1	PENSACOLA BAY		3	0	-10000	0	46440.89481		03140105000	31401				G130x			03140105	1	1	0	1	1
81195	81195	F	81195		273.99		136.995	1	GULF OF MEXICO		3	0	-10000	0	47915.40457		03140107000	31401				G140x			03140107	1	1	0	1	1
81196	81196	F	81196		111.62		55.81	1	PERDIDO BAY		3	0	-10000	0	54258.90139		03140107000	31401				G140x			03140107	1	1	0	1	1
81197	81197	F	81197		12.83		6.415	1	PERDIDO BAY		3	0	-10000	0	5561.69438		03140107000	31401				G140x			03140107	1	1	0	1	1
81198	81198	F	81198		3.97		1.985	1	PERDIDO BAY		3	0	-10000	0	2540.5559		03140107000	31401				G140x			03140107	1	1	0	1	1
81200	81200	F	81200		219.68		109.84	1	PERDIDO BAY		3	0	-10000	0	60402.92826		03140107000	31401				G140x			03140107	1	1	0	1	1
81201	81201	F	81201		28.92		14.46	1	PERDIDO BAY		3	0	-10000	0	8967.92203		03140107000	31401				G140x			03140107	1	1	0	1	1
81202	81202	F	81202		570.64		285.32	1	GULF OF MEXICO		3	0	-10000	0	71712.97054		03140107000	31401				G145x			03140107	1	1	0	1	1
81203	81203	F	81203		39.17		19.585	1	MOBILE BAY		3	0	-10000	0	2604.85657		03160204000	31602				G150x			03160204	1	1	0	1	1
81205	81205	F	81205		121.08		60.54	1	MOBILE BAY		3	0	-10000	0	46569.12593		03160204000	31602				G150x			03160204	1	1	0	1	1
81206	81206	F	81206		12.52		6.26	1	MOBILE BAY		3	0	-10000	0	6470.39486		03160205000	31602				G150x			03160205	1	1	0	1	1
81207	81207	F	81207		16.85		8.425	1	MOBILE BAY		3	0	-10000	0	5992.60516		03160205000	31602				G150x			03160205	1	1	0	1	1
81208	81208	F	81208		313.14		156.57	1	MOBILE BAY		3	0	-10000	0	44336.41523		03160205000	31602				G150x			03160205	1	1	0	1	1
81209	81209	F	81209		65.72		32.86	1	MOBILE BAY		3	0	-10000	0	15312.88583		03160205000	31602				G150x			03160205	1	1	0	1	1
81210	81210	F	81210		3.51		1.755	1	MOBILE BAY		3	0	-10000	0	2939.60609		03160205000	31602				G150x			03160205	1	1	0	1	1
81211	81211	F	81211		186.3		93.15	1	MOBILE BAY		3	0	-10000	0	22652.04108		03160205000	31602				G150x			03160205	1	1	0	1	1
81212	81212	F	81212		387.94		193.97	1	MOBILE BAY		3	0	-10000	0	17939.94494		03160205000	31602				G150x			03160205	1	1	0	1	1
81213	81213	F	81213		144.75		72.375	1	PASCAGOULA BAY		3	0	-10000	0	10377.16014		03170006000	31700				G160x			03170006	1	1	0	1	1
81214	81214	F	81214		9.64		4.82	1	PASCAGOULA R		3	0	-10000	0	5908.48455		03170006000	31700				G160x			03170006	1	1	0	1	1
81215	81215	F	81215		21.63		10.815	1	PASCAGOULA R		3	0	-10000	0	5955.53546		03170006000	31700				G160x			03170006	1	1	0	1	1
81216	81216	F	81216		43.96		21.98	1	PASCAGOULA BAY		3	0	-10000	0	4764.13014	West Mississippi Sound	03170009000	31700				G170w			03170009	1	1	0	1	1
81217	81217	F	81217		2.87		1.435	1	PASCAGOULA R		3	0	-10000	0	2712.58954		03170006000	31700				G160x			03170006	1	1	0	1	1
81219	81219	F	81219		15.46		7.73	1	PASCAGOULA R		3	0	-10000	0	3088.56088		03170006000	31700				G160x			03170006	1	1	0	1	1
81220	81220	F	81220		773.24		386.62	1	MISSISSIPPI SOUND		3	0	-10000	0	96598.3843		03170009000	31700				G160x			03170009	1	1	0	1	1
81221	81221	F	81221		4.83		2.415	1	MISSISSIPPI SOUND		3	0	-10000	0	154.13798		03170009000	31700				G160x			03170009	1	1	0	1	1
81222	81222	F	81222		36.54		18.27	1	MISSISSIPPI SOUND		3	0	-10000	0	8309.98192		03170009000	31700				G160x			03170009	1	1	0	1	1
81223	81223	F	81223		44.44		22.22	1	BILOXI BAY		3	0	-10000	0	20388.72267		03170009000	31700				G170w			03170009	1	1	0	1	1
81224	81224	F	81224		11.37		5.685	1	BILOXI BAY		3	0	-10000	0	6092.19165		03170009000	31700				G170w			03170009	1	1	0	1	1
81225	81225	F	81225		822.24		411.12	1	MISSISSIPPI SOUND		3	0	-10000	0	49126.24257		03170009000	31700				G170w			03170009	1	1	0	1	1
81226	81226	F	81226		46.46		23.23	1	ST LOUIS BAY		3	0	-10000	0	15783.72739		03170009000	31700				G170w			03170009	1	1	0	1	1
81227	81227	F	81227		6.44		3.22	1	BILOXI BAY		3	0	-10000	0	6469.39022		03170009000	31700				G170w			03170009	1	1	0	1	1
81228	81228	F	81228		46.03		23.015	1	BILOXI BAY		3	0	-10000	0	21394.81967		03170009000	31700				G170w			03170009	1	1	0	1	1
81229	81229	F	81229		51.92		25.96	1	BILOXI BAY		3	0	-10000	0	11994.69901		03170009000	31700				G170w			03170009	1	1	0	1	1
81230	81230	F	81230		54.37		27.185	1	ST LOUIS BAY		3	0	-10000	0	11876.42089		03170009000	31700				G170w			03170009	1	1	0	1	1
81231	81231	F	81231		29.79		14.895	1	ST LOUIS BAY		3	0	-10000	0	10441.85649		03170009000	31700				G170w			03170009	1	1	0	1	1
81232	81232	F	81232		163.51		81.755	1	MISSISSIPPI SOUND		3	0	-10000	0	19467.544		03170009000	31700				G170w			03170009	1	1	0	1	1
81233	81233	F	81233		34.77		17.385	1	L BORGNE		3	0	-10000	0	1231.59392		03180004000	31800				G170a			03180004	1	1	0	1	1
81472	81472	F	81472		67.86		33.93	1	PAMLICO SOUND		3	0	-10000	0	16825.29731		03020105000	30201				S020w			03020105	1	1	0	1	1
81473	81473	F	81473		304.8		152.4	1	PAMLICO R		3	0	-10000	0	52659.97282		03020104000	30201				S020a			03020104	1	1	0	1	1
81474	81474	F	81474		60.8		30.4	1	PAMLICO R		3	0	-10000	0	14812.08242		03020104000	30201				S020a			03020104	1	1	0	1	1
81475	81475	F	81475		266.98		133.49	1	LONG BAY		3	0	-10000	0	20292.65331		03030005000	30300				S056x			03030005	1	1	0	1	1
81476	81476	F	81476		73.22		36.61	1	WINYAH BAY		3	0	-10000	0	29537.24196		03040207000	30402				S060x			03040207	1	1	0	1	1
81477	81477	F	81477		52.44		26.22	1	TURTLE R		3	0	-10000	0	28862.48081		03070203000	30702				S160x			03070203	1	1	0	1	1
81478	81478	F	81478		45.77		22.885	1	TURTLE R		3	0	-10000	0	14843.33148		03070203000	30702				S160x			03070203	1	1	0	1	1
81479	81479	F	81479		19.62		9.81	1	ST JOHNS R		3	0	-10000	0	4774.73694		03080103000	30801				S180x			03080103	1	1	0	1	1
81498	81498	F	81498		211.35		105.675	1	PASQUOTUNK R		3	0	-10000	0	39018.69263		03010205000	30102				S010x			03010205	1	1	0	1	1
81499	81499	F	81499		875.43		437.715	1	ALLIGATOR R		3	0	-10000	0	71949.59992		03010205000	30102				S010x			03010205	1	1	0	1	1
81500	81500	F	81500		82.48		41.24	1	ALLIGATOR R		3	0	-10000	0	27331.29022		03010205000	30102				S010x			03010205	1	1	0	1	1
81501	81501	F	81501		299.51		149.755	1	ALLIGATOR R		3	0	-10000	0	77964.64114		03010205000	30102				S010x			03010205	1	1	0	1	1
81502	81502	F	81502		113.63		56.815	1	CHOWAN R		3	0	-10000	0	41581.00689		03010203000	30102				S010x			03010203	1	1	0	1	1
81503	81503	F	81503		60.62		30.31	1	PUNGO R		3	0	-10000	0	24639.47464		03020104000	30201				S020a			03020104	1	1	0	1	1
81504	81504	F	81504		114.54		57.27	1	NEW R		3	0	-10000	0	38706.25999		03030001000	30300				S040x			03030001	1	1	0	1	1
81505	81505	F	81505		42.58		21.29	1	SAPELO R		3	0	-10000	0	16090.14247		03060204000	30602				S140x			03060204	1	1	0	1	1
81506	81506	F	81506		9.29		4.645	1	ALTAMAHA R		3	0	-10000	0	7721.14605		03070106000	30701				S150x			03070106	1	1	0	1	1
81507	81507	F	81507		31.22		15.61	1	TURTLE R		3	0	-10000	0	3647.92332		03070203000	30702				S160x			03070203	1	1	0	1	1
81508	81508	F	81508		25.81		12.905	1	TURTLE R		3	0	-10000	0	10568.80984		03070203000	30702				S160x			03070203	1	1	0	1	1
81512	81512	F	81512		39.1		19.55	1	ST JOHNS R		3	0	-10000	0	1023.43026		03080103000	30801				S180x			03080103	1	1	0	1	1
81513	81513	F	81513		34.46		17.23	1	ST JOHNS R		3	0	-10000	0	15913.54957		03080103000	30801				S180x			03080103	1	1	0	1	1
81514	81514	F	81514		4.6		2.3	1	ST JOHNS R		3	0	-10000	0	6196.2867		03080103000	30801				S180x			03080103	1	1	0	1	1
81515	81515	F	81515		17.02		8.51	1	ST JOHNS R		3	0	-10000	0	10858.76385		03080103000	30801				S180x			03080103	1	1	0	1	1
81516	81516	F	81516		6.85		3.425	1	ST JOHNS R		3	0	-10000	0	6138.51322		03080103000	30801				S180x			03080103	1	1	0	1	1
81517	81517	F	81517		14.42		7.21	1	ST JOHNS R		3	0	-10000	0	7018.0096		03080103000	30801				S180x			03080103	1	1	0	1	1
81518	81518	F	81518		31.62		15.81	1	ST JOHNS R		3	0	-10000	0	8427.16143		03080103000	30801				S180x			03080103	1	1	0	1	1
81519	81519	F	81519		10.86		5.43	1	ST JOHNS R		3	0	-10000	0	4480.28597		03080103000	30801				S180x			03080103	1	1	0	1	1
81521	81521	F	81521		29.17		14.585	1	ST JOHNS R		3	0	-10000	0	10230.39168		03080103000	30801				S180x			03080103	1	1	0	1	1
